CEFR level,order_index,subject,subject_words ,need their own video lessons ,used 
C1,27,First Day Forms,"ownership, qualification, suspend, functional, institutional, subsequently",, develop
C1,28,Mailroom Run,"envelope, stamp, paragraph, maker, correspond, margin",,remember
C1,29,Join the Club,"membership, shareholder, advocate, convention, volunteer, attendance",,bit
C1,30,Lab Talk,"genetic, interpretation, derive, intellectual, sharp ",,share
C1,31,Build & Fix,"construct, adapt, rescue, convert, integrate, distribute",,real
C1,32,Spicy Debate,"controversial, raw, confusion, cluster, disturb, crazy",,answer
C1,33,Tell the Story,"literally, verb, noun, reckon, hesitate, pro, automatically, comprehensive",,sit
C1,34,Smooth Looks,"strip, smooth, leather, shine, jacket",,figure
C1,35,Big Numbers,"approximately, numerous, virtually, slight, unknown, frequent, implementation",,letter
C1,36,Stay Steady,"stability, steady, framework, uniform, consistent, ",,decide
,,Study Skills,"observation, concentration, implication, educational, fundamental, highlight",,language
,,Office Paperwork,"catalog, attachment, holder, extract, liability",,subject
,,Talking About Feelings 2,"remarkable, ugly, lazy, innocent, alive, bore",,class
,,Favorite Sports 2 ,"golf, tennis, swim, tackle, offense, champion, ball, bias ",,development
,,Hands-On Practice,"participate, wood, bend, curve, angle, pump",,town
,,Planning a Trip 2,"resort, historical, wherever, royal, gaze, fold",,half
,,Science Experiments 2,"cell, phenomenon, vessel, demonstrate, reflection",,minute
,,Career Goals,"retire, pension, dedicate, fulfill, objective, assistance",,
,,Counting and Measuring,"sufficient, exceed, massive, precise, roughly, upper",,break
,,Debate Club,"criticism, imply, prompt, react, revise, hint, versus, significant ",,clear
,,Talking About Time 2,"previously, initially, meanwhile, furthermore, increasingly, ultimately, secondly, altogether, firstly",,future
,,Workplace Processes,"submit, coverage, tension, sensitive, exclude, restrict, regulate",,either
,,Beliefs and Values,"religious, pray, bless, soul, wise, completely",,ago
,,Moving and Changing,"stretch, withdraw, undergo, leap, snap, twist, shake, abandon",, per
,,Nature and Animals,"bird, pig, creature, breed, wing, agricultural, dominate ",,remain
,,Social Connections,"greet, admire, gentleman, listener, racial, ethnic",,top
,,Degrees and Amounts,"largely, significantly, considerable, greatly, extreme, tiny, visible",,among
,,Design and Structure,"structural, architecture, dimension, mode, extension, compound",,win
,,Health and Habits,"cigarette, alcohol, poverty, blind, pure, hunger",,
,,Story Writing,"plot, sequence, dramatic, premise, plain, theme",,involve
,,Office Logistics,"facility, division, provision, consist, perspective, relevant, consideration, protection, regardless",, reach
,,Talking Feelings,"deserve, unusual, classic, luck, fortunate, alright, bother, apologize, genuine",,social
,,Talent Show,"talent, competitor, brilliant, extraordinary, charm, venture",,period
,,Civic Life,"race, gender, freedom, independence, constitute, universal, adequate",,across
,,Daily Habits,"regularly, occasionally, rare, usual, carefully, tendency",,note
,,Study Session 2,"educate, significance, visual, segment, custom, forecast, minor",,history
,,Health & Care,"elderly, retirement, insure, ease, occupy, pale, comfort",,create
,,Machines in Motion,"electric, motor, trigger, chamber, float, properly",,drive
,,Conflict Resolution,"divorce, ruin, bury, neglect, resign, strict, damn, dependent",,along
,,Stages of Change,"phase, latter, originally, subsequent, consequently",,type
,,Talking About Attitude,"intense, keen, stupid, loud, silent, mature, aggressive, bloody",,sound
,,Creative Projects,"composition, illustration, brush, craft, adjustment, supplement, substitute",,eyes
,,Office Communication,"content, description, contribution, advice, brief, interaction",,music
,,Linking Ideas in Writing,"nevertheless, moreover, hence, otherwise, equally, forth",,game
,,How Much Is Enough,"plenty, entirely, strongly, totally, partly, barely, deeply, widely, anymore",,political
,,People & Identity,"independent, associate, ourselves, unite, isolate ",,free
,,Places and Distance,"everywhere, interior, distant, situate, aside",,receive
,,Market Moves,"rival, preference, incentive, moderate, detect, scope, potentially, ",,moment
,,Body Check-In,"shower, thirst, cheek, thin, thick, enhance, broad, lean",,sale
,,Everyday Devices,"button, hook, bell, string, flag, solar, lock",,policy
,,Creating Something New,"invent, stimulate, generate, anticipate, specialize",,further
,,Making a Deal,"negotiate, borrow, lend, involvement, predict, exception ",,body
,,Health & Risk,"harm, excess, exhaust, bite, depress, uncertainty, eliminate",,require
,,Connecting Ideas in Writing,"whilst, effectively, elsewhere, onto, perfectly",,wait
,,Looks & Style,"appearance, beauty, glance, skirt, neck",,general
,,Quick Actions,"kick, grab, tear, split, pose, stare",,appear
,,People & Roles,"folk, twin, sir, slave, grand",,toward
,,Clear Thinking,"suspect, recognize, consult, cite, underlie, distinction, attribute",,team
,,Structure and Data,"layer, variation, respectively, comprise, summarize, distinguish",,easy
,,Nature & Materials,"rock, liquid, shell, stem, burst, blow, stick, naturally",,individual
,,I had a dream,"dream, extra, heavy, bridge, pool",,full
,,how much or how little? ,"basically, mainly, fairly, surely, minority, typically ",,black
,,what game should we play 2,"compete, strategy, score, term, pitch ",, sense
,,Dealing with Limits,"fault, indication, limitation, destruction, complexity, complicate",,perhaps
,,Sharing and Storytelling,"peer, tale, humor, faithfully, fragment, alongside",,add
,,,,,rule
,,Dual meaning: Everyday Nature,"light, rock, spring, fall, well, plant, wave",,pass
,,Dual meaning: Resources & Objects,"mine, fire, draft, block, line, mark, bar, nail",,produce
,,Dual meaning: People & Roles,"head, face, kind, court, party, page, coach, judge",,sell
,,Dual meaning: Society & Community,"row, fair, bank, deal, charge, order, league, club",,short
,,Dual meaning: Time & Change,"season, present, issue, state, change, round, date, period",,agree
,,Dual meaning: Actions & Movement,"set, match, train, watch, play, trip, run, turn",,law
,,Dual meaning: Work & Knowledge,"book, file, note, record, case, right, draft, report",,everything
,,Dual meaning: Communication & Ideas,"point, letter, sign, sound, park, mark, type, address",,research
,,Dual meaning: Home & Places,"house, room, ground, field, school, yard, court, board",,cover
,,Dual meaning: Money & Trade,"bill, check, interest, fair, charge, bank, credit, capital",,paper
,,Dual meaning: Law & Authority,"sentence, appeal, court, case, fine, charge, order",,position
,,Dual meaning: Body & Health,"arm, leg, hand, foot, face, head, heart, back",,near
,,Dual meaning: Technology & Media,"program, channel, post, stream, file, link, page, web",,human
,,,,,computer
,,,,,situation
,,,,,staff
,,,,,activity
,,,,,film
,,,,,morning
,,,,,war
,,,,,account
,,,,,shop
,,,,,major
,,,,,someone
,,,,,above
,,,,,design
,,,,,event
,,,,,special
,,,,,sometimes
,,,,,condition
,,,,,carry
,,,,,choose
,,,,,father
,,,,,decision
,,,,,table
,,,,,certain
,,,,,forward
,,,,,main
,,,,,die
,,,,,bear
,,,,,cut
,,,,,describe
,,,,,himself
,,,,,available
,,,,,especially
,,,,,strong
,,,,,rise
,,,,,girl
,,,,,maybe
,,,,,community
,,,,,else
,,,,,particular
,,,,,role
,,,,,join
,,,,,difficult
,,,,,please 
,,,,,detail
,,,,,difference
,,,,,action
,,,,,health
,,,,,eat
,,,,,step
,,,,,TRUE
,,,,,phone
,,,,,themselves
,,,,,draw
,,,,,white
,,,,,date
,,,,,practice
,,,,,model
,,,,,raise
,,,,,customer
,,,,,front
,,,,,explain
,,,,,door
,,,,,outside
,,,,,behind
,,,,,economic
,,,,,site
,,,,,approach
,,,,,teacher
,,,,,land
,,,,,charge
,,,,,finally
,,,,,sign
,,,,,claim
,,,,,relationship
,,,,,travel
,,,,,enjoy
,,,,,death
,,,,,nice
,,,,,amount
,,,,,improve
,,,,,picture
,,,,,boy
,,,,,regard
,,,,,organization
,,,,,happy
,,,,,couple
,,,,,act
,,,,,range
,,,,,quality
,,,,,project
,,,,,round
,,,,,opportunity
,,,,,road
,,,,,accord
,,,,,list
,,,,,wish
,,,,,therefore
,,,,,wear
,,,,,fund
,,,,,rest
,,,,,kid
,,,,,industry
,,,,,education
,,,,,measure
,,,,,kill
,,,,,serve
,,,,,likely
,,,,,certainly
,,,,,national
,,,,,itself
,,,,,teach
,,,,,field
,,,,,security
,,,,,air
,,,,,benefit
,,,,,trade
,,,,,risk
,,,,,news
,,,,,standard
,,,,,vote
,,,,,percent
,,,,,focus
,,,,,stage
,,,,,space
,,,,,instead
,,,,,realize
,,,,,usually
,,,,,data
,,,,,single
,,,,,address
,,,,,performance
,,,,,chance
,,,,,accept
,,,,,society
,,,,, technology
,,,,,mention
,,,,,choice
,,,,,save
,,,,,common
,,,,,culture
,,,,,total
,,,,,demand
,,,,,material
,,,,,limit
,,,,,listen
,,,,,due
,,,,,wrong
,,,,,foot
,,,,,effort
,,,,,attention
,,,,,upon
,,,,,check
,,,,,complete
,,,,,lie
,,,,,pick
,,,,,reduce
,,,,,personal
,,,,,ground
,,,,,animal
,,,,,arrive
,,,,,patient
,,,,,current
,,,,,century
,,,,,evidence
,,,,,exist
,,,,,similar
,,,,,fight
,,,,,leader
,,,,,fine
,,,,,street
,,,,,former
,,,,,contact
,,,,,particularly
,,,,,wife
,,,,,sport
,,,,,prepare
,,,,,discuss
,,,,,response
,,,,,voice
,,,,,piece
,,,,,finish
,,,,,suppose
,,,,,apply
,,,,,president
,,,,,fire
,,,,,compare
,,,,,court
,,,,,police
,,,,,store
,,,,,poor
,,,,,knowledge
,,,,,laugh
,,,,,arm
,,,,,heart
,,,,,source
,,,,,employee
,,,,,manage
,,,,,simply
,,,,,bank
,,,,,firm
,,,,,cell
,,,,,article
,,,,,fast
,,,,,attack
,,,,,foreign
,,,,,surprise
,,,,,feature
,,,,,factor
,,,,,pretty 
,,,,,recently
,,,,,affect
,,,,,drop
,,,,,recent
,,,,,relate
,,,,,official
,,,,,financial
,,,,,miss
,,,,,art
,,,,,campaign
,,,,,private
,,,,,pause
,,,,,everyone
,,,,,forget
,,,,,page
,,,,,worry
,,,,,summer
,,,,,drink
,,,,,opinion
,,,,,park
,,,,,represent
,,,,,key
,,,,,inside
,,,,,manager
,,,,,international
,,,,,contain
,,,,,notice
,,,,,wonder
,,,,,nature
,,,,,structure
,,,,,section
,,,,,myself
,,,,,exactly
,,,,,plant
,,,,,paint
,,,,,worker
,,,,,press
,,,,,whatever
,,,,,necessary
,,,,,region
,,,,,growth
,,,,,evening
,,,,,influence
,,,,,respect
,,,,,various
,,,,,catch
,,,,,
,,,,,skill
,,,,,attempt
,,,,,son
,,,,,simple
,,,,,medium
,,,,,average
,,,,,stock
,,,,,management
,,,,, character
,,,,,bed
,,,,,hit
,,,,,establish
,,,,,indeed
,,,,,final
,,,,,economy
,,,,,fit
,,,,,guy
,,,,,function
,,,,, yesterday
,,,,,image
,,,,,size
,,,,,behavior
,,,,,addition
,,,,,determine
,,,,,station
,,,,,population
,,,,,fail
,,,,,environment
,,,,,production
,,,,,contract
,,,,,player
,,,,,comment
,,,,,enter
,,,,,occur
,,,,,alone
,,,,,significant
,,,,,drug
,,,,,wall
,,,,,series
,,,,,direct
,,,,,success
,,,,,tomorrow
,,,,,director
,,,,,clearly
,,,,,lack
,,,,,review
,,,,,depend
,,,,,race
,,,,,recognize
,,,,,window
,,,,,purpose
,,,,,department
,,,,,gain
,,,,,tree
,,,,,college
,,,,,argue
,,,,,board
,,,,,holiday
,,,,,mark
,,,,,church
,,,,,machine
,,,,,achieve
,,,,,item
,,,,,prove
,,,,,cent
,,,,,season
,,,,,floor
,,,,,stuff
,,,,,wide
,,,,,anyone
,,,,,method
,,,,,analysis
,,,,,election
,,,,,military
,,,,,hotel
,,,,,club
,,,,,below
,,,,,movie
,,,,,doctor
,,,,,discussion
,,,,,sorry
,,,,,challenge
,,,,,nation
,,,,,nearly
,,,,,statement
,,,,,link
,,,,,despite
,,,,,introduce
,,,,,advantage
,,,,,ready
,,,,,marry
,,,,,strike
,,,,,mile
,,,,,seek
,,,,,ability
,,,,,unit
,,,,,card
,,,,,hospital
,,,,,quickly
,,,,,interview
,,,,,agreement
,,,,,release
,,,,,tax
,,,,,solution
,,,,,capital
,,,,,popular
,,,,,specific
,,,,,beautiful
,,,,,fear
,,,,,aim
,,,,, television
,,,,,serious
,,,,,target
,,,,,degree
,,,,,pull
,,,,,red
,,,,,husband
,,,,,access
,,,,,movement
,,,,,treat
,,,,,identify
,,,,,loss
,,,,,shall
,,,,,modern
,,,,,pressure
,,,,,bus
,,,,,treatment
,,,,,conference
,,,,,your
,,,,,supply
,,,,,village
,,,,,worth
,,,,,natural
,,,,,express
,,,,,indicate
,,,,,attend
,,,,,brother
,,,,,investment
,,,,,score
,,,,,organize
,,,,,trip
,,,,,beyond
,,,,,sleep
,,,,,fish
,,,,,promise
,,,,,potential
,,,,,energy
,,,,,trouble
,,,,,relation
,,,,,touch
,,,,,file
,,,,,middle
,,,,,bar
,,,,,suffer
,,,,,strategy
,,,,,deep
,,,,,except
,,,,,clean
,,,,,tend
,,,,,advance
,,,,,fill
,,,,,star
,,,,,network
,,,,,generally
,,,,,operation
,,,,,match
,,,,,avoid
,,,,,seat
,,,,,throw
,,,,,task
,,,,,normal
,,,,,goal
,,,,,associate
,,,,,blue
,,,,,positive
,,,,,option
,,,,,box
,,,,,huge
,,,,,message
,,,,,instance
,,,,,style
,,,,,refer
,,,,,cold
,,,,,push
,,,,,quarter
,,,,,assume
,,,,,baby
,,,,,successful
,,,,,sing
,,,,,doubt
,,,,,competition
,,,,,theory
,,,,,propose
,,,,,reference
,,,,,argument
,,,,,adult
,,,,,fly
,,,,,document
,,,,,pattern
,,,,,application
,,,,,hot
,,,,,obviously
,,,,,unclear
,,,,,bill
,,,,,search
,,,,,separate
,,,,,central
,,,,,career
,,,,,anyway
,,,,,speech
,,,,,dog
,,,,,officer
,,,,,throughout
,,,,,oil
,,,,,dress
,,,,,profit
,,,,,guess
,,,,,fun
,,,,,protect
,,,,,resource
,,,,,science
,,,,,disease
,,,,,balance
,,,,,damage
,,,,,basis
,,,,,author
,,,,,basic
,,,,,encourage
,,,,,hair
,,,,,male
,,,,,operate
,,,,,reflect
,,,,,exercise
,,,,,useful
,,,,,restaurant
,,,,,income
,,,,, property
,,,,,previous
,,,,,dark
,,,,,imagine
,,,,,okay
,,,,,earn
,,,,,daughter
,,,,,post
,,,,,newspaper
,,,,,define
,,,,,conclusion
,,,,,clock
,,,,,everybody
,,,,,weekend
,,,,,perform
,,,,,professional
,,,,,mine
,,,,,debate
,,,,,memory
,,,,,green
,,,,,song
,,,,,object
,,,,,maintain
,,,,,credit
,,,,,ring
,,,,,discover
,,,,,dead
,,,,,afternoon
,,,,,prefer
,,,,,extend
,,,,,possibility
,,,,,direction
,,,,,facility
,,,,,variety
,,,,,daily
,,,,,clothes
,,,,,screen
,,,,,track
,,,,,dance
,,,,,completely
,,,,,female
,,,,,responsibility
,,,,,original
,,,,,sister
,,,,,rock
,,,,,dream
,,,,,nor
,,,,,university
,,,,,easily
,,,,,agency
,,,,,dollar
,,,,,garden
,,,,,fix
,,,,,ahead
,,,,,cross
,,,,,
,,,,,candidate
,,,,,weight
,,,,,legal
,,,,,proposal
,,,,,version
,,,,,conversation
,,,,,somebody
,,,,,pound
,,,,,magazine
,,,,,shape
,,,,,sea
,,,,,immediately
,,,,,welcome
,,,,,smile
,,,,,communication
,,,,,agent
,,,,, traditional
,,,,,replace
,,,,,judge
,,,,,herself
,,,,,suddenly
,,,,,generation
,,,,,estimate
,,,,,
,,,,,difficulty
,,,,,purchase
,,,,,shoot
,,,,,announce
,,,,,unless
,,,,,independent
,,,,,recommend
,,,,,survey
,,,,,majority
,,,,,stick
,,,,,request
,,,,,rich
,,,,, wind
,,,,,none
,,,,,exchange
,,,,,budget
,,,,,famous
,,,,,blood
,,,,,appropriate
,,,,,block
,,,,,warm
,,,,,count
,,,,,scene
,,,,,writer
,,,,,content
,,,,,prevent
,,,,,safe
,,,,,invite
,,,,,mix
,,,,,element
,,,,,effective
,,,,,correct
,,,,,medical
,,,,,admit
,,,,,beat
,,,,,
,,,,,copy
,,,,,committee
,,,,,aware
,,,,,advice
,,,,,handle
,,,,,glass
,,,,,
,,,,,stress
,,,,,
,,,,,administration
,,,,,complex
,,,,,text
,,,,,context
,,,,,ride
,,,,,directly
,,,,,heavy
,,,,,remove
,,,,,conduct
,,,,,equipment
,,,,,otherwise
,,,,,title
,,,,,extra
,,,,,executive
,,,,,chair
,,,,,expensive
,,,,,sample
,,,,,sex
,,,,,deliver
,,,,,video
,,,,,connection
,,,,,primary
,,,,,weather
,,,,,collect
,,,,,inform
,,,,,principle
,,,,,straight
,,,,,appeal
,,,,,highly
,,,,,trust
,,,,,wonderful
,,,,,flat
,,,,,absolutely
,,,,,flow
,,,,,fair
,,,,,additional
,,,,,responsible
,,,,,farm
,,,,,collection
,,,,,hang
,,,,,negative
,,,,,band
,,,,,relative
,,,,,tour
,,,,,alternative
,,,,, software
,,,,,pair
,,,,,ship
,,,,,attitude
,,,,,cheap
,,,,,double
,,,,,leg
,,,,,observe
,,,,,sentence
,,,,,print
,,,,,progress
,,,,,truth
,,,,,nobody
,,,,,examine
,,,,,lay
,,,,,speed
,,,,,politics
,,,,,reply
,,,,,display
,,,,,transfer
,,,,,perfect
,,,,,slightly
,,,,,overall
,,,,,intend
,,,,,user
,,,,,respond
,,,,,dinner
,,,,,slow
,,,,,regular
,,,,,physical
,,,,,apart
,,,,,suit
,,,,,federal
,,,,,reveal
,,,,,percentage
,,,,,peace
,,,,,status
,,,,,crime
,,,,,decline
,,,,,decade
,,,,,launch
,,,,,warn
,,,,,consumer
,,,,,favor
,,,,, dry
,,,,,partner
,,,,,institution
,,,,,spot
,,,,,horse
,,,,,eventually
,,,,,heat
,,,,,excite
,,,,,
,,,,,importance
,,,,,distance
,,,,,guide
,,,,,grant
,,,,,taxi
,,,,,feed
,,,,,pain
,,,,,sector
,,,,,mistake
,,,,,ensure
,,,,,satisfy
,,,,,chief
,,,,, cool
,,,,,expert
,,,,,wave
,,,,,south
,,,,,labor
,,,,,surface
,,,,,library
,,,,,excellent
,,,,,edge
,,,,,camp
,,,,,audience
,,,,,lift
,,,,,procedure
,,,,,email
,,,,,global
,,,,,struggle
,,,,,advertise
,,,,,select
,,,,,surround
,,,,,extent
,,,,,river
,,,,,annual
,,,,,fully
,,,,,contrast
,,,,,roll
,,,,,reality
,,,,,
,,,,,artist
,,,,,conflict
,,,,,entire
,,,,,presence
,,,,,crowd
,,,,,
,,,,,gas
,,,,,shift
,,,,,net
,,,,,category
,,,,,secretary
,,,,,defense
,,,,,quick
,,,,,cook
,,,,,spread
,,,,,nuclear
,,,,,scale
,,,,,driver
,,,,,ball
,,,,,cry
,,,,,introduction
,,,,,requirement
,,,,,south
,,,,,confirm
,,,,,senior
,,,,,photo
,,,,,refuse
,,,,,transport
,,,,,emerge
,,,,,map
,,,,,concept
,,,,,island
,,,,,reform
,,,,,neither
,,,,,football
,,,,,survive
,,,,,flight
,,,,,left
,,,,,solve
,,,,,neighbor
,,,,,background
,,,,,technique
,,,,,traffic
,,,,,improvement
,,,,,tool
,,,,,consequence
,,,,,circumstance
,,,,,smoke
,,,,,reaction
,,,,,rain
,,,,,busy
,,,,,lesson
,,,,,brain
,,,,,mass
,,,,,funny
,,,,,contribute
,,,,,failure
,,,,,schedule
,,,,,speaker
,,,,,bottom
,,,,,adopt
,,,,,combine
,,,,,mountain
,,,,,waste
,,,,,hide
,,,,,married 
,,,,,ticket
,,,,,meal
,,,,,colleague
,,,,,bag
,,,,,repeat
,,,,,equal
,,,,,expression
,,,,,plus
,,,,,extremely
,,,,,owner
,,,,,plane
,,,,,commercial
,,,,,lady
,,,,,duty
,,,,,strength
,,,,,connect
,,,,,cultural
,,,,,arrange
,,,,,scheme
,,,,,payment
,,,,,unfortunately
,,,,,brief
,,,,,bird
,,,,,demonstrate
,,,,,contribution
,,,,,appreciate
,,,,,chapter
,,,,,secret
,,,,,apparently
,,,,,novel
,,,,,union
,,,,,burn
,,,,,trend
,,,,,initial
,,,,,pleasure
,,,,,suggestion
,,,,,critical
,,,,,gather
,,,,,mostly
,,,,,earth
,,,,,pop
,,,,,essential
,,,,,desire
,,,,,promote
,,,,,currently
,,,,,employ
,,,,,path
,,,,,topic
,,,,,beach
,,,,,attract
,,,,,engage
,,,,,powerful
,,,,,flower
,,,,,crisis
,,,,,settle
,,,,,boat
,,,,,aid
,,,,,fan
,,,,,kitchen
,,,,,twice
,,,,,fresh
,,,,,delay
,,,,,safety
,,,,,engineer
,,,,,quiet
,,,,,insurance
,,,,,nurse
,,,,,divide
,,,,,length
,,,,,investigation
,,,,,package
,,,,,somewhere
,,,,,expand
,,,,,commit
,,,,,obvious
,,,,,jump
,,,,,weapon
,,,,,relatively
,,,,,host
,,,,,winter
,,,,,district
,,,,,broad
,,,,,tire
,,,,,spring
,,,,,spirit
,,,,,lunch
,,,,,actual
,,,,,pool
,,,,,battle
,,,,,tradition
,,,,,cash
,,,,,hardly
,,,,,award
,,,,,coach
,,,,,experiment
,,,,,consideration
,,,,,strange
,,,,,code
,,,,,possibly
,,,,,threat
,,,,,accident
,,,,,impossible
,,,,,revenue
,,,,,enable
,,,,,afraid
,,,,,active
,,,,,conclude
,,,,,religious
,,,,,cancer
,,,,,convince
,,,,,vary
,,,,,
,,,,,sun
,,,,,healthy
,,,,,blow
,,,,,volume
,,,,,location
,,,,,invest
,,,,,proceed
,,,,,wash
,,,,,actor
,,,,,glad
,,,,,tape
,,,,,whereas
,,,,,opposite
,,,,,stone
,,,,,sum
,,,,,murder
,,,,,monitor
,,,,,soldier
,,,,,finance
,,,,,hate
,,,,,egg
,,,,,concert
,,,,,shock
,,,,,comfortable
,,,,,usual
,,,,,carefully
,,,,,pack
,,,,,recall
,,,,,wine
,,,,,camera
,,,,,swim
,,,,,manufacture
,,,,,theater
,,,,,cycle
,,,,,coffee
,,,,,totally
,,,,,museum
,,,,, visitor
,,,,,freedom
,,,,,construction
,,,,,dear
,,,,,objective
,,,,,moreover
,,,,,onto
,,,,,historical
,,,,,oppose
,,,,,branch
,,,,, vehicle
,,,,,scientist
,,,,,route
,,,,,bind
,,,,,belong
,,,,,taste
,,,,,tonight
,,,,,fashion
,,,,,danger
,,,,,bomb
,,,,,army
,,,,,dangerous
,,,,,decrease
,,,,,hurt
,,,,,council
,,,,,editor
,,,,,normally
,,,,,sight
,,,,,generate
,,,,,gift
,,,,,delivery
,,,,,deny
,,,,,guest
,,,,,anybody
,,,,,bedroom
,,,,,quote
,,,,,climb
,,,,,basically
,,,,,violence
,,,,,minister
,,,,,mainly
,,,,,mouth
,,,,,noise
,,,,,manner
,,,,,gun
,,,,,square
,,,,,occasion
,,,,,familiar
,,,,,ignore
,,,,,destroy
,,,,,affair
,,,,,civil
,,,,,locate
,,,,,citizen
,,,,,temperature
,,,,,gold
,,,,,domestic
,,,,,load
,,,,,belief
,,,,,troop
,,,,,technical
,,,,,remind
,,,,,arrangement
,,,,,skin
,,,,,prison
,,,,,switch
,,,,,acquire
,,,,,corporate
,,,,,fairly
,,,,,wood
,,,,,participate
,,,,,tough
,,,,,tear
,,,,,representative
,,,,,capacity
,,,,,border
,,,,,shake
,,,,,assessment
,,,,,shoe
,,,,,ought
,,,,,ad
,,,,,fee
,,,,,hall
,,,,,regulation
,,,,,escape
,,,,,studio
,,,,,proper
,,,,,relax
,,,,,tourist
,,,,,component
,,,,,afford
,,,,,lawyer
,,,,,suspect
,,,,,cup
,,,,,description
,,,,,confidence
,,,,,industrial
,,,,,complain
,,,,,perspective
,,,,,error
,,,,,arrest
,,,,,assess
,,,,,register
,,,,,asset
,,,,,signal
,,,,,finger
,,,,,relevant
,,,,,explore
,,,,,leadership
,,,,,commitment
,,,,,wake
,,,,,necessarily
,,,,,bright
,,,,,frame
,,,,,slowly
,,,,,bond
,,,,,hire
,,,,,hole
,,,,,tie
,,,,,internal
,,,,,chain
,,,,,literature
,,,,,victim
,,,,,threaten
,,,,,division
,,,,,secure
,,,,,amaze
,,,,,device
,,,,,birth
,,,,,forest
,,,,,label
,,,,,root
,,,,,factory
,,,,,expense
,,,,, channel
,,,,,investigate
,,,,,recommendation
,,,,,rank
,,,,,typical
,,,,,west
,,,,,friendly
,,,,,resident
,,,,,provision
,,,,,concentrate
,,,,,plenty
,,,,,export
,,,,,entirely
,,,,,strongly
,,,,,bridge
,,,,,consist
,,,,,graduate
,,,,,brand
,,,,,moral
,,,,,insist
,,,,,combination
,,,,,abuse
,,,,,ice
,,,,,principal
,,,,,master
,,,,,definitely
,,,,,session
,,,,,grade
,,,,,nevertheless
,,,,,predict
,,,,,previously
,,,,,protection
,,,,,largely
,,,,,
,,,,,rent
,,,,,shot
,,,,,appearance
,,,,,reasonable
,,,,,guarantee
,,,,,till
,,,,,theme
,,,,,judgment
,,,,,odd
,,,,,approve
,,,,,loan
,,,,,definition
,,,,,elect
,,,,,atmosphere
,,,,,farmer
,,,,,comparison
,,,,,characteristic
,,,,,license
,,,,,rely
,,,,,narrow
,,,,,succeed
,,,,,identity
,,,,,desk
,,,,,permit
,,,,,seriously
,,,,,wild
,,,,,empty
,,,,,commission
,,,,,unique
,,,,,association
,,,,,instrument
,,,,,investor
,,,,,practical
,,,,,tea
,,,,,lovely
,,,,,soft
,,,,,row
,,,,,youth
,,,,,lock
,,,,,fuel
,,,,,expectation
,,,,,employment
,,,,,celebrate
,,,,,sexual
,,,,,shoulder
,,,,,breath
,,,,,increasingly
,,,,,import
,,,,,bottle
,,,,,ourselves
,,,,,sheet
,,,,,engine
,,,,,cast
,,,,,notion
,,,,,conservative
,,,,,journey
,,,,,opposition
,,,,,relief
,,,,,debt
,,,,,honor
,,,,,outcome
,,,,,blame
,,,,,explanation
,,,,,arise
,,,,,musical
,,,,,recover
,,,,,dad
,,,,,stretch
,,,,,declare
,,,,,retire
,,,,,tiny
,,,,,careful
,,,,,suitable
,,,,,native
,,,,,fruit
,,,,,analyze
,,,,,witness
,,,,,mail
,,,,,terrible
,,,,,researcher
,,,,,ordinary
,,,,,selection
,,,,,anywhere
,,,,,mental
,,,,,participant
,,,,,vision
,,,,,personality
,,,,,specifically
,,,,,fat
,,,,,entry
,,,,,fellow
,,,,,chemical
,,,,,capture
,,,,,tip
,,,,,discount
,,,,,peak
,,,,,chairman
,,,,,proportion
,,,,,ear
,,,,,disappear
,,,,,shout
,,,,,yard
,,,,,constant
,,,,,significantly
,,,,, hill
,,,,,considerable
,,,,, instruction
,,,,,intelligence
,,,,,ideal
,,,,,folk
,,,,,surely
,,,,,guard
,,,,,cat
,,,,,somewhat
,,,,,kiss
,,,,,presentation
,,,,,joint
,,,,,compete
,,,,,poll
,,,,,weak
,,,,,faith
,,,,,reduction
,,,,,reserve
,,,,,complaint
,,,,,bore
,,,,,mission
,,,,,somehow
,,,,,tone
,,,,,neighborhood
,,,,,passenger
,,,,,justice
,,,,,phase
,,,,,thin
,,,,,rush
,,,,,formal
,,,,,religion
,,,,,employer
,,,,,reject
,,,,,latter
,,,,,plate
,,,,,ban
,,,,,steal
,,,,,protest
,,,,,index
,,,,,sad
,,,,,frequently
,,,,,circle
,,,,,helpful
,,,,,command
,,,,,attractive
,,,,,sick
,,,,,impression
,,,,,unable
,,,,,joke
,,,,,sky
,,,,,column
,,,,,electronic
,,,,,impose
,,,,,criminal
,,,,,besides
,,,,,properly
,,,,,ancient
,,,,,coast
,,,,,ill
,,,,,kick
,,,,,closely
,,,,,multiple
,,,,,yield
,,,,,via
,,,,,legislation
,,,,,county
,,,,,unlike
,,,,,mobile
,,,,, assistant
,,,,,implement
,,,,,chart
,,,,,attach
,,,,,
,,,,,everywhere
,,,,,advise
,,,,,household
,,,,,acknowledge
,,,,,reward
,,,,,east
,,,,,hat
,,,,,academic
,,,,, voter
,,,,,meanwhile
,,,,,furthermore
,,,,,accuse
,,,,,scientific
,,,,,wage
,,,,,absence
,,,,,construct
,,,,,remark
,,,,,medicine
,,,,,professor
,,,,,rare
,,,,,intention
,,,,,dozen
,,,,,settlement
,,,,,gap
,,,,,widely
,,,,,minimum
,,,,,northern
,,,,,estate
,,,,,equally
,,,,,expose
,,,,,alive
,,,,,shut
,,,,,victory
,,,,,resolve
,,,,,critic
